0.17996,1.29464
0.57991,0.97094
0.97985,0.64729
1.37980,0.32362
1.77974,0.00000
2.17969,-0.18348
2.57964,-0.13098
2.97958,-0.07846
3.37953,-0.02593
3.77947,0.02663
4.17942,-0.03095
4.57937,-0.02066
4.97931,-0.01032
5.37926,0.00000
5.77920,0.04613
6.17915,0.05247
6.57910,0.05880
6.97904,0.06516
7.37899,0.07155
7.77893,1.05447
8.17888,3.05206
8.57883,5.04967
8.97877,7.04730
9.37872,9.04494
9.77866,8.43481
10.17861,7.42344
10.57856,6.41209
10.97850,5.40074
11.37845,4.47889
11.77839,3.84286
12.17834,3.20687
12.57829,2.57088
12.97823,1.93493
13.37818,1.46387
13.77812,1.09542
14.17807,0.72697
14.57802,0.35854
14.97796,-0.01348
15.37791,-0.00680
15.77785,0.00000
16.17780,-0.00920
16.57775,-0.01839
16.97769,0.01958
17.37764,0.17234
17.77758,0.32512
18.17753,0.47792
18.57748,0.63074
18.97742,0.94102
19.37737,1.30362
19.77731,1.66624
20.17726,2.02888
20.57721,2.40973
20.97715,2.91550
21.37710,3.42127
21.77704,3.92707
22.17699,4.43291
22.57694,4.98651
22.97688,5.58611
23.37683,6.18573
23.77677,6.78535
24.17672,7.38502
24.57667,8.01366
24.97661,8.64580
25.37656,9.27798
25.77650,9.91018
26.17645,10.52272
26.57640,11.08276
26.97634,11.64282
27.37629,12.20290
27.77623,12.76299
28.17618,13.23573
28.57613,13.66298
28.97607,14.09023
29.37602,14.51752
29.77596,14.94280
30.17591,15.32431
30.57586,15.70583
30.97580,16.08739
31.37575,16.46894
31.77569,16.89125
32.17564,17.36741
32.57559,17.84358
32.97553,18.31979
33.37548,18.79603
33.77542,19.34023
34.17537,19.90002
34.57532,20.45982
34.97526,21.01966
35.37521,21.60039
35.77515,22.26336
36.17510,22.92636
36.57505,23.58935
36.97499,24.25238
37.37494,24.96400
37.77488,25.70905
38.17483,26.45412
38.57478,27.19922
38.97472,27.94431
39.37467,28.70700
39.77461,29.47009
40.17456,30.23318
40.57451,30.99633
40.97445,31.86777
41.37440,32.92405
41.77434,33.98036
42.17429,35.03669
42.57424,36.09303
42.97418,37.43781
43.37413,38.87271
43.77407,40.30762
44.17402,41.74252
44.57397,43.20882
44.97391,44.84544
45.37386,46.48209
45.77380,48.11874
46.17375,49.75543
46.57370,51.36121
46.97364,52.94176
47.37359,54.52230
47.77353,56.10286
48.17348,57.68346
48.57343,59.31071
48.97337,60.94099
49.37332,62.57124
49.77326,64.20155
50.17321,65.80867
50.57316,67.36994
50.97310,68.93124
51.37305,70.49258
51.77299,72.05391
52.17294,73.46236
52.57289,74.81520
52.97283,76.16804
53.37278,77.52092
53.77272,78.88609
54.17267,80.33241
54.57262,81.77879
54.97256,83.22517
55.37251,84.67157
55.77245,86.23016
56.17240,87.89043
56.57235,89.55073
56.97229,91.21101
57.37224,92.87135
57.77218,94.88074
58.17213,96.91857
58.57208,98.95647
58.97202,100.99439
59.37197,103.30473
59.77191,106.18035
60.17186,109.05605
60.57181,111.93171
60.97175,114.80740
61.37170,118.46508
61.77164,122.41666
62.17159,126.36822
62.57154,130.31982
62.97148,134.49100
63.37143,140.13843
63.77137,145.78586
64.17132,151.43335
64.57127,157.08087
64.97121,162.99211
65.37116,169.13461
65.77110,175.27713
66.17105,181.41968
66.57100,187.56219
66.97094,194.87247
67.37089,202.26096
67.77083,209.64946
68.17078,217.03793
68.57073,224.96249
68.97067,233.94110
69.37062,242.91966
69.77056,251.89832
70.17051,260.87698
70.57046,269.87183
70.97040,278.87231
71.37035,287.87274
71.77029,296.87326
72.17024,306.05396
72.57019,316.25281
72.97013,326.45166
73.37008,336.65054
73.77002,346.84946
74.16997,356.15430
74.56992,364.75174
74.96986,373.34921
75.36981,381.94662
75.76975,390.54419
76.16970,394.53339
76.56965,398.36600
76.96959,402.19873
77.36954,406.03137
77.76948,409.10110
78.16943,410.90878
78.56938,412.71643
78.96932,414.52417
79.36927,416.33197
79.76921,415.66809
80.16916,414.33789
80.56911,413.00766
80.96905,411.67740
81.36900,409.85812
81.76894,406.07001
82.16889,402.28186
82.56884,398.49380
82.96878,394.70575
83.36873,388.44348
83.76867,380.61017
84.16862,372.77698
84.56857,364.94376
84.96851,357.07764
85.36846,347.55811
85.76840,338.03870
86.16835,328.51929
86.56830,318.99988
86.96824,309.47809
87.36819,299.95325
87.76813,290.42841
88.16808,280.90363
88.56803,271.37878
88.96797,261.94925
89.36792,252.53658
89.76786,243.12393
90.16781,233.71133
90.56776,225.23349
90.96770,219.34932
91.36765,213.46518
91.76759,207.58109
92.16754,201.69699
92.56749,196.26671
92.96743,191.04807
93.36738,185.82941
93.76732,180.61078
94.16727,175.51030
94.56722,171.47693
94.96716,167.44351
95.36711,163.41016
95.76705,159.37685
96.16700,155.64771
96.56695,152.20102
96.96689,148.75439
97.36684,145.30775
97.76678,141.86118
98.16673,139.11897
98.56668,136.42322
98.96662,133.72749
99.36657,131.03177
99.76651,128.43182
